ID	Register_Address	Operation	Register_Length	Register_Name	Data_Format	Description
23	117	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE8_LO	16 Bit Unsigned Integer	analog input 8 low byte
24	118	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE9_HI	16 Bit Unsigned Integer	analog input 9 high byte
25	119	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE9_LO	16 Bit Unsigned Integer	analog input 9 low byte
26	120	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE10_HI	16 Bit Unsigned Integer	analog input 10 high byte
27	121	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE10_LO	16 Bit Unsigned Integer	analog input 10 low byte
28	122	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE11_HI	16 Bit Unsigned Integer	analog input 11 high byte
29	123	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE11_LO	16 Bit Unsigned Integer	analog input 11 low byte
30	124	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE12_HI	16 Bit Unsigned Integer	analog input 12 high byte
31	125	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE12_LO	16 Bit Unsigned Integer	analog input 12 low byte
32	126	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE13_HI	16 Bit Unsigned Integer	analog input 13 high byte
33	127	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE13_LO	16 Bit Unsigned Integer	analog input 13 low byte
34	128	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE14_HI	16 Bit Unsigned Integer	analog input 14 high byte
35	129	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE14_LO	16 Bit Unsigned Integer	analog input 14 low byte
36	130	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE15_HI	16 Bit Unsigned Integer	analog input 15 high byte
37	131	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE15_LO	16 Bit Unsigned Integer	analog input 15 low byte
38	132	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE16_HI	16 Bit Unsigned Integer	analog input 16 high byte
39	133	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE16_LO	16 Bit Unsigned Integer	analog input 16 low byte
40	134	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE17_HI	16 Bit Unsigned Integer	analog input 17 high byte
41	135	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE17_LO	16 Bit Unsigned Integer	analog input 17 low byte
42	136	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE18_HI	16 Bit Unsigned Integer	analog input 18 high byte
43	137	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE18_LO	16 Bit Unsigned Integer	analog input 18 low byte
44	138	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE19_HI	16 Bit Unsigned Integer	analog input 19 high byte
45	139	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE19_LO	16 Bit Unsigned Integer	analog input 19 low byte
46	140	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE20_HI	16 Bit Unsigned Integer	analog input 20 high byte
47	141	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE20_LO	16 Bit Unsigned Integer	analog input 20 low byte
48	142	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE21_HI	16 Bit Unsigned Integer	analog input 21 high byte
49	143	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE21_LO	16 Bit Unsigned Integer	analog input 21 low byte
50	200	03_06 Read Holding and Write Single	1	MODBUS_AI_FILTER0	8 Bit Unsigned Integer	analog input 0 filter
51	201	03_06 Read Holding and Write Single	1	MODBUS_AI_FILTER1	8 Bit Unsigned Integer	analog input 1 filter
52	202	03_06 Read Holding and Write Single	1	MODBUS_AI_FILTER2	8 Bit Unsigned Integer	analog input 2 filter
53	203	03_06 Read Holding and Write Single	1	MODBUS_AI_FILTER3	8 Bit Unsigned Integer	analog input 3 filter
54	204	03_06 Read Holding and Write Single	1	MODBUS_AI_FILTER4	8 Bit Unsigned Integer	analog input 4 filter
55	205	03_06 Read Holding and Write Single	1	MODBUS_AI_FILTER5	8 Bit Unsigned Integer	analog input 5 filter
56	206	03_06 Read Holding and Write Single	1	MODBUS_AI_FILTER6	8 Bit Unsigned Integer	analog input 6 filter
57	207	03_06 Read Holding and Write Single	1	MODBUS_AI_FILTER7	8 Bit Unsigned Integer	analog input 7 filter
58	208	03_06 Read Holding and Write Single	1	MODBUS_AI_FILTER8	8 Bit Unsigned Integer	analog input 8 filter
59	209	03_06 Read Holding and Write Single	1	MODBUS_AI_FILTER9	8 Bit Unsigned Integer	analog input 9 filter
60	210	03_06 Read Holding and Write Single	2	MODBUS_AI_FILTER10	8 Bit Unsigned Integer	analog input 10 filter
61	211	03_06 Read Holding and Write Single	2	MODBUS_AI_FILTER11	8 Bit Unsigned Integer	analog input 11 filter
62	212	03_06 Read Holding and Write Single	2	MODBUS_AI_FILTER12	8 Bit Unsigned Integer	analog input 12 filter
63	213	03_06 Read Holding and Write Single	2	MODBUS_AI_FILTER13	8 Bit Unsigned Integer	analog input 13 filter
64	214	03_06 Read Holding and Write Single	2	MODBUS_AI_FILTER14	8 Bit Unsigned Integer	analog input 14 filter
65	215	03_06 Read Holding and Write Single	2	MODBUS_AI_FILTER15	8 Bit Unsigned Integer	analog input 15 filter
66	216	03_06 Read Holding and Write Single	2	MODBUS_AI_FILTER16	8 Bit Unsigned Integer	analog input 16 filter
67	217	03_06 Read Holding and Write Single	2	MODBUS_AI_FILTER17	8 Bit Unsigned Integer	analog input 17 filter
68	218	03_06 Read Holding and Write Single	1	MODBUS_AI_FILTER18	8 Bit Unsigned Integer	analog input 18 filter
69	219	03_06 Read Holding and Write Single	1	MODBUS_AI_FILTER19	8 Bit Unsigned Integer	analog input 19 filter
70	220	03_06 Read Holding and Write Single	1	MODBUS_AI_FILTER20	8 Bit Unsigned Integer	analog input 20 filter
71	221	03_06 Read Holding and Write Single	1	MODBUS_AI_FILTER21	8 Bit Unsigned Integer	analog input 21 filter
